mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda
SYTL1,hsa-let-7i,-0.516726275,7.46E-05,0.003271795,0.781748967,0.004479102,0.091228322,targetprofiler-Yes,targetscan-NO,miRanda-NO
LYPLA2,hsa-let-7i,-0.497178268,0.000152355,0.005854082,0.77550747,0.005035804,0.094866739,targetprofiler-NO,targetscan-NO,miRanda-Yes
KIAA1468,hsa-mir-340,-0.494568303,0.000167061,0.00630676,0.864772781,0.000590105,0.046122236,targetprofiler-NO,targetscan-Yes,miRanda-NO
MPZL2,hsa-mir-625,-0.465873851,0.000438865,0.013660111,0.86187654,0.000646319,0.047599455,targetprofiler-Yes,targetscan-Yes,miRanda-NO
MPZL2,hsa-mir-106b,-0.463776834,0.000469425,0.01440321,0.83011664,0.001563054,0.064383764,targetprofiler-Yes,targetscan-NO,miRanda-NO
SMAD3,hsa-mir-132,-0.454491582,0.00062921,0.018131368,0.841945574,0.001150158,0.058042375,targetprofiler-NO,targetscan-Yes,miRanda-NO
CARD6,hsa-mir-25,-0.452764091,0.000663854,0.018908093,0.889331759,0.000248456,0.033712987,targetprofiler-Yes,targetscan-Yes,miRanda-Yes
PPP1R16A,hsa-mir-100,-0.449813893,0.000727015,0.020303534,0.78736184,0.004018515,0.087955163,targetprofiler-NO,targetscan-NO,miRanda-Yes
FAM83H,hsa-mir-140,-0.440311203,0.000968954,0.025381746,0.782883189,0.004383037,0.090578568,targetprofiler-NO,targetscan-Yes,miRanda-NO
ALDH5A1,hsa-mir-27a,-0.434573552,0.001147914,0.028903675,0.883419616,0.000311258,0.036649303,targetprofiler-Yes,targetscan-NO,miRanda-NO
FOXA1,hsa-mir-132,-0.424835357,0.001520352,0.035807606,0.850400502,0.000909682,0.053653571,targetprofiler-NO,targetscan-Yes,miRanda-Yes
TP63,hsa-mir-140,-0.423107719,0.00159669,0.037159649,0.776323963,0.004960226,0.094394523,targetprofiler-NO,targetscan-Yes,miRanda-NO
C1orf106,hsa-mir-625,-0.418820037,0.001801134,0.040700486,0.866426517,0.000559712,0.045198388,targetprofiler-NO,targetscan-Yes,miRanda-NO
JUP,hsa-mir-140,-0.4176273,0.001862007,0.041742464,0.816965355,0.002142615,0.071391112,targetprofiler-NO,targetscan-Yes,miRanda-NO
PKM2,hsa-mir-484,-0.417311926,0.001878406,0.042024385,0.803863099,0.002866145,0.078683422,targetprofiler-Yes,targetscan-NO,miRanda-Yes
PTPN11,hsa-mir-143,-0.415786614,0.00195955,0.043373834,0.848272895,0.000966243,0.054737989,targetprofiler-NO,targetscan-Yes,miRanda-NO
TRIM62,hsa-mir-152,-0.415302206,0.001985965,0.043817257,0.802327607,0.002961477,0.079557079,targetprofiler-Yes,targetscan-NO,miRanda-NO
CASP9,hsa-mir-223,-0.413510321,0.002086454,0.045479855,0.933839401,2.62E-05,0.013144245,targetprofiler-NO,targetscan-Yes,miRanda-NO
SEMA3F,hsa-let-7i,-0.413147531,0.002107341,0.045820576,0.822307387,0.001890673,0.068500166,targetprofiler-Yes,targetscan-NO,miRanda-NO
SMPD2,hsa-mir-221,-0.412080967,0.002169829,0.046829681,0.785337663,0.00418037,0.089128181,targetprofiler-NO,targetscan-NO,miRanda-Yes
