gene	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	average
PHF20	92.67759091	18.0857779	28.81556601	78.82837883	78.82643704	90.6568431	23.88593389	56.78619554	79.13663616	76.05092489	62.6825131	62.40298158
SMG5	70.83632772	27.08704626	29.53308695	62.81964316	81.05397826	48.13798555	30.89459068	48.67174844	61.5079644	46.59872834	53.22865237	50.94270474
TNS4	0.435230577	115.6912381	201.3959771	0.252437453	0.396510529	0.238259757	119.1926563	55.05635711	0.365503018	13.30241509	140.232218	58.778073
UHRF1BP1L	20.80651164	3.950600699	5.615173785	18.17731893	19.10677667	21.64282328	4.079530298	14.26913138	18.59449564	12.47746211	6.60602335	13.21144071
USP37	4.900682603	1.738974438	2.168080858	5.128697694	4.057106092	6.845166428	2.442377673	5.525540362	4.881393564	5.060118398	3.767838572	4.228725153
KCNN4	1.166177373	168.2195256	26.70355864	1.654583207	1.341098958	0.599503839	3.79474154	63.50494207	0.760753053	14.8423056	59.68381262	31.11554568
RNMT	50.02693606	22.06361311	25.06158233	45.95221184	50.22675933	37.21971826	16.89023483	49.16929349	43.41884066	45.4466485	40.07681062	38.68660446
CDV3	109.9961457	73.44185567	76.5434443	126.1911216	102.3038583	134.0566062	57.88909331	94.7559492	88.16662625	84.8549751	81.84581615	93.64049925
RPS6KL1	4.627387633	0.625226205	1.05060864	5.160527302	5.191772661	3.58688156	1.63017907	2.474792889	2.859778662	3.639939521	1.769666056	2.965160018
MAPRE1	146.7350064	103.7915854	72.14004447	179.8925343	175.8755491	214.0406427	55.9621259	121.3056348	205.2588306	121.5618933	129.8783086	138.7674687
GZF1	12.31785711	4.125490134	2.912366668	10.55086057	12.52563205	11.31178441	4.579375598	8.485358081	10.8740757	9.358488484	6.260034498	8.481938482
KIF27	1.495996767	0.289387481	0.573895828	1.335664959	1.107933602	1.214315458	0.675560592	0.947729868	1.015248963	1.159517759	0.774934404	0.962744153
SMEK2	57.34949102	14.91786362	27.65609038	54.84872082	55.20816037	45.95646874	28.945915	50.45283256	38.30500466	38.46823891	33.60006625	40.51898658
RAF1	75.9564064	34.77364306	50.75360281	70.68630789	78.13780912	66.41674392	42.20684048	63.69921794	77.61125606	71.69431155	55.97422232	62.53730559
ATG4D	12.16319889	39.4144513	33.94798971	12.08898297	11.5945728	8.815331024	37.10962643	20.13437927	10.13647975	13.81088093	32.91592995	21.102893
ZHX3	25.88321148	3.072481431	4.795347539	19.42412605	22.47359331	17.40419775	5.032776635	7.306173046	21.3286963	16.16682873	6.3674221	13.56862313
TRAPPC6B	18.5898256	12.27964376	15.14156503	20.96829628	20.26354735	20.77823847	16.24583058	20.97445651	17.52473533	19.02780177	12.87774051	17.69742556
PITPNM2	15.77419394	1.847991858	3.546866991	17.95049975	22.88474546	19.18526521	5.507361048	6.925378896	14.68469978	11.23359824	2.930140594	11.1337038
SNAPC3	26.84635253	9.235679195	11.59790281	23.45303768	26.75022428	20.51843626	14.75629832	20.77626359	27.76809697	19.96191665	11.02194739	19.33510506
PALM2	0.264621271	0.243498099	0.221241801	0.311970067	0.331484156	0.414908136	0.178416237	0.365727236	0.272655119	0.448183074	0.203364466	0.296006333
C11orf58	94.57510158	49.00534645	39.35150978	81.47665674	87.49963333	88.6023462	42.88005432	75.86038268	74.45998179	87.18536014	58.88277589	70.88901354
RRAGD	25.96552265	3.375875487	10.45518961	16.43046605	18.46632987	17.84090165	11.26030172	7.402064481	15.58998885	12.75766595	6.570328617	13.28314863
RIC8B	11.04210402	1.734634644	1.564826825	10.2371784	10.6711022	9.317869569	1.98005239	6.387663884	9.879162291	8.370434142	5.88930236	7.006757338
