gene	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	average
PHF20	60.8223368	28.8049494	48.28947097	40.23931476	56.86766842	44.34111571	55.28920932	27.92104481	66.28887174	48.71696482	38.00855419	53.73114113	94.30960199	41.19929454	43.79426962	35.75657873	48.14619525	28.9767775	56.48433754	34.07575707	44.51378165	60.0053177	36.39417814	51.90195205	88.33949019	46.58419528	55.77610097	40.48501399	64.85215113	112.8209323	45.12551442	59.42309545	49.87034863	34.67401148	47.23395465	28.30498871	42.68516796	34.18279188	25.3113851	41.78490174	28.68012265	45.23139686	45.92400545	72.63662774	29.07630832	60.79582647	84.71628125	29.61215374	28.65894051	40.98106305	22.36007474	75.93721871	97.35666174	49.51508319
SMG5	40.44823992	48.44315508	103.306137	102.527085	103.3072646	109.5269465	73.94888535	55.44050714	44.02521044	31.87697722	54.880132	57.27074186	65.99352503	94.90617036	51.59533634	57.75744231	66.52542207	69.67758485	80.43622151	47.57350511	105.2293185	53.26964872	96.30464175	44.55264781	39.00381162	71.78165637	71.83782417	38.14645512	56.56233697	113.0333271	63.94013458	63.88573338	44.22310146	92.39894031	63.64590937	33.35046762	65.63976786	150.1061397	98.8510838	72.4081895	61.83227776	47.45774559	57.01917607	128.3043338	75.114753	54.15294874	123.7297116	15.55860425	46.19549438	87.76320437	60.02856574	55.47974547	117.7232589	70.33957444
TNS4	2.365708552	87.81025089	0.442157689	130.7614763	22.50950023	40.84748812	1.11380412	257.0913245	186.4095679	0.453952043	250.1013799	29.69162831	34.09697471	81.20272483	55.42945288	51.20571202	18.85668477	114.1241398	128.0090753	161.7341332	13.57925163	124.2171232	8.15788159	1.957966089	188.3834284	33.9598143	103.6850311	191.6325208	180.0508049	0.512784997	113.4881425	112.5137651	74.11672767	203.0234304	8.139483074	37.81297235	44.60305491	146.0448305	91.28893561	233.2732765	227.3615017	114.9157418	68.1150787	366.1280821	111.6893292	123.4508364	3.991105108	49.7515151	179.4739483	46.86934111	2.582552052	136.0221124	137.6031733	96.84250337
UHRF1BP1L	6.304792517	5.809694796	12.71798823	4.473058236	9.445323164	8.926826193	14.39409726	5.277215786	12.13510082	10.67906818	6.449136107	4.837119421	12.54008617	10.24213674	12.573994	11.45128303	7.558467164	5.954167832	5.545898522	4.867015306	6.199143037	7.76376373	11.07606172	11.41349699	13.50733278	5.782853164	3.290268865	4.910211814	10.41766493	27.11363908	7.844227026	11.02841442	12.98046578	4.238349983	7.352787635	3.645439815	4.57513233	4.115493256	5.479165179	8.412479658	5.629906088	6.689257106	7.791927661	8.762306523	5.272850514	4.993349321	21.08715077	5.936991729	5.307843911	7.852727246	7.935744513	4.475829171	25.85678512	8.696632648
USP37	6.26132418	4.151666058	3.253492696	4.384421465	2.763008723	7.749075686	5.397205591	2.848364344	5.315060909	6.07040916	3.595367983	7.947702391	4.831288475	4.503080383	3.039740029	6.263908422	4.497447509	5.81237818	6.715946148	4.277883744	6.232940932	5.216547693	4.929228194	3.407698122	5.891717467	6.555356081	4.142761623	3.860229994	6.794014295	10.12252889	2.781456056	3.663478387	5.031010399	3.56189171	3.780998216	1.651734382	1.8181333	2.655896268	4.080717129	5.392203791	5.263385686	3.344043243	3.763291317	4.212019059	3.936044285	2.428997153	11.67105123	2.083168222	3.952966498	5.700151808	2.030136313	9.362985908	5.350052747	4.799011481
KCNN4	0.602771569	2.870672721	1.248408381	140.4318607	7.115348343	23.03176518	11.14321793	108.4644694	147.174915	14.03776639	46.26015925	69.02076744	12.86047953	75.52664571	3.865372814	48.24275512	48.12028343	235.6302007	34.08266543	97.9047577	34.51290094	96.46236814	106.454319	1.911337898	119.9689046	143.8296874	274.433405	108.3434536	24.22751238	16.72644238	146.7782072	0.413246431	43.19789481	123.5268605	269.3372596	79.41199665	23.14738296	97.29687474	138.3192502	8.325464801	11.68889076	162.8651043	115.6995026	18.29920188	2.59805036	68.53000311	3.237391438	42.11929679	15.06566167	57.1769411	58.27517855	107.1844871	118.5735916	71.04855384
RNMT	49.44348333	37.06374279	64.61254509	35.22347425	33.83844614	55.976439	42.99988448	18.99655829	34.33178935	40.32616929	19.8059672	46.187935	57.01926101	70.21313119	25.34735143	42.71350842	48.93029197	26.01477173	56.70436878	36.70698727	71.53887799	57.10948456	29.78958339	25.75965369	28.48700177	33.40073156	22.7210428	36.95609001	29.20535977	62.13875318	29.98363931	44.00649255	33.86033821	39.54594507	42.71065048	15.42124829	42.17830321	35.32202537	25.77184887	42.93525881	31.10822739	43.71073969	36.81080507	95.25064806	41.14215297	58.05502502	114.3909486	18.5495534	38.18421851	48.1882339	25.1951124	66.06194137	62.6077565	42.84063769
CDV3	45.82668198	116.0063143	108.6242785	43.61127913	139.6306376	123.1109457	124.1594372	32.08480608	74.78552904	80.58450737	46.91360329	78.38470662	143.9178269	59.52681551	105.7033795	68.0312261	53.10828781	97.9590962	123.1745503	45.70180781	83.36001455	89.30020655	214.1526896	80.97243301	53.46400443	87.94192053	45.02477452	52.68939051	81.87959482	98.33828697	42.22632433	89.43848032	91.64684568	39.14147501	93.81010486	62.20480791	122.427652	78.59270433	60.02430257	132.9379212	90.18585937	61.24592039	50.40582125	137.477718	117.7987191	56.96427111	71.83182849	51.19783721	79.20810579	44.83455617	37.28505331	81.30059306	96.26353446	82.76263148
RPS6KL1	1.399927313	1.037811148	11.37628115	0.923887108	4.56050786	4.062551628	2.083086815	4.102060001	4.159452976	1.962998238	1.366083657	5.398756896	4.035432525	4.58219159	0.580465542	0.482988725	2.782016464	3.727534378	0.894793002	4.198476239	0.872212706	1.054269666	6.457420617	1.725838697	0.728440449	3.288078435	4.467722211	0.90418148	1.104345826	10.0566588	1.257973737	1.823643808	2.017912336	4.282159394	6.216915869	1.673566181	1.114734328	1.44654481	3.488417951	1.462571133	0.9608558	2.684356341	1.07598893	2.264193474	1.099091424	4.455478596	4.805440225	1.429058842	0.716511754	5.287819984	1.612205739	6.531282006	2.473158845	2.916157616
MAPRE1	102.3852953	101.4449345	138.3802931	115.2601471	116.8827755	169.3746821	121.0788907	67.94575026	163.87032	110.7933371	134.6570793	96.51714755	187.9594868	93.72868368	115.237625	141.5295596	153.6586041	134.105235	167.1361478	90.51320125	122.0863264	114.0119893	125.2791317	43.34882869	214.6938898	174.7467985	117.0940011	79.88420769	125.677828	139.3422348	120.1342192	81.52694656	113.9813975	53.13091898	133.2526161	112.3765677	163.2496655	138.7370088	103.1605241	134.3249075	105.958864	104.6191709	187.3110103	170.4251832	117.2686672	111.6227021	143.6719875	75.11583714	86.29831544	99.93656669	89.0126162	221.0146791	274.5217002	126.778802
