mirna	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	average
hsa-mir-939	0	0.589245999	0.386116	0	0	0	0.619988999	0	0.142441	0.276426	0.277406	0.208329454
hsa-mir-338	103.2054279	137.6478389	448.5378435	74.73029493	18.31569898	35.93634296	146.9374698	68.33777992	117.7989519	241.1814318	300.9853727	153.9649503
hsa-mir-424	23.94414997	88.50473191	36.42358996	13.36534899	17.01486798	7.748356992	23.55959398	22.02622598	51.13642495	20.45550298	29.40502297	30.32580151
hsa-mir-152	143.5421118	264.8071007	270.4097587	95.35662691	82.99300992	69.51255493	226.9160928	94.0350439	191.8684248	177.8799448	343.5209406	178.2583282
hsa-mir-381	8.840916991	84.02646291	75.93610592	9.060164991	4.162658996	5.031978995	40.29930596	31.90978996	26.49408097	13.13022099	100.5133949	36.30955287
hsa-mir-323	0.184186	4.006871996	1.029641999	0.064256	0	0.089062	0	0.564774999	0.712205999	0.829276999	2.034309998	0.864962363
hsa-mir-665	0	0.824943999	1.029641999	0.128513	0	0	0	0.847162999	0.427324	0.138213	1.109622999	0.409583818
hsa-mir-377	0.675347999	7.660196992	9.52418999	0.835333999	0.520331999	0.489838999	0.619988999	2.541487997	1.566853998	1.105702999	11.92845299	3.406156996
hsa-mir-766	0.859533999	2.710530997	3.861157996	1.349385999	1.456930999	0.534368999	3.719935996	1.129549999	3.561031996	0.691063999	2.589120997	2.042055634
hsa-mir-141	1.903252998	814.5735111	241.7084847	2.248976998	4.526890995	2.404661998	237.4559108	49.70020295	3.988355996	9.398473991	387.9058806	159.6195094
hsa-mir-27a	231.6443068	833.6650781	1141.486982	193.5405398	216.9785898	86.43425291	549.3105404	347.6190356	257.1065387	253.2059507	1256.001328	487.9084675
hsa-mir-29c	752.2146952	3494.581644	4007.495791	524.7184745	491.4018715	351.9267906	1926.306827	715.8523592	697.2501413	1079.02776	3838.465076	1625.385585
hsa-mir-376b	0.061395	1.885586998	2.960220997	0	0	0.133592	0	0.847162999	0.712205999	0.138213	1.849371998	0.780704454
hsa-mir-31	0.122791	46.66827395	25.22623197	0.128513	0.312199	0	0	5.930137993	0.284883	1.520340998	4.715899995	7.719024628
hsa-mir-223	29.89948997	261.2716257	728.8579072	47.35703095	5.515522994	111.7722699	57.03901794	86.6929679	24.64234397	59.70795294	518.4715784	175.5661553
hsa-mir-676	0.491161999	0.471396999	1.029641999	0.257026	0.1561	0.044531	0	0.282388	0.284883	0.276426	0.739748999	0.366664
