mirna	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	average
hsa-mir-939	0.283366	2.474552997	2.777748997	1.065482999	0.809442999	4.294504995	1.877847998	0.981234999	0.653825999	0.686497999	0.849105999	0.707403999	3.749554996	0.819049999	0.890384999	3.146085996	2.101599998	0.534221999	2.319372998	2.213654998	1.373898999	0.416815	3.220975997	0.387155	1.405253999	1.839295998	0.746667999	0.956988999	0.597051999	6.255574994	0.580265999	0.254575	0.768471999	0.467008	0.278362	0.767719999	2.558866997	2.676249997	1.557774998	0.517225999	0.348886	0.882747999	0.795355999	1.659000998	1.133670999	0.521921999	2.875093997	0.902822999	2.324096998	0.980940999	0	2.688041997	1.574744998	1.46317864
hsa-mir-338	451.2600205	179.1195688	458.1301025	142.4195208	178.0773788	124.9700999	385.5220956	78.33524992	67.73636993	147.9403678	45.28566295	182.1565778	100.4880799	620.8398654	91.8877369	238.3160257	72.85546793	139.0759159	138.2346319	29.88434097	335.2313417	106.5379279	740.0193013	153.7006428	86.42310591	164.5148258	287.8404757	79.84024291	71.88500893	103.9989279	57.59141093	77.89993992	264.6959167	124.9246219	213.0862958	72.82368192	388.9477426	132.3714209	57.11842194	146.2456189	58.26397794	102.1044999	76.22165392	102.8580429	252.8085987	108.9076449	31.62603797	50.55810694	128.2126769	80.50721892	321.8861607	53.58164594	58.52801794	169.1376648
hsa-mir-424	246.2448717	87.37075691	201.5851818	102.4639199	115.7502969	202.2711918	96.70914689	153.5632559	153.7798658	222.8544868	294.9228827	220.7101058	274.4674407	144.7670799	308.6074587	319.5243746	322.9458717	57.16180394	215.2378168	31.87662997	131.3054849	84.69681891	192.4533328	48.97514195	227.4754508	111.7883349	90.7201499	56.05222494	247.2987598	161.0810468	60.78287493	59.31596694	273.5760377	42.03071396	94.2256189	75.23651492	224.5405548	167.1626648	107.7461149	52.36912095	107.1080309	32.36742097	148.7316448	351.4316476	98.62936389	94.5547999	159.5677388	350.4760226	149.9042468	81.69836192	149.4542818	133.8645139	16.27236398	153.8812793
hsa-mir-152	619.1542514	326.8313496	132.5382889	294.7835477	363.4397426	396.8122745	665.3213762	167.1370048	209.4858378	748.0256302	569.1841814	569.1066684	452.9462685	194.5243638	1222.320599	312.4456806	337.2367517	221.5242508	515.3646865	133.9261209	188.8129688	256.2578937	215.8054108	209.0638468	494.7371485	120.9848159	150.8269158	157.4930818	574.7218394	264.8193257	250.8200247	205.4419978	663.9598232	117.4524949	362.5668196	354.1380576	217.0771938	509.3108774	379.3182496	260.0353137	384.4724756	286.3045497	443.2786285	341.2011436	588.9420044	291.8411727	68.52308293	390.5613786	308.1365077	267.0961877	134.8685029	369.1578306	165.0857538	348.0230603
hsa-mir-381	70.69976493	33.50164096	13.09509999	35.60487996	26.71160697	41.65669995	34.55239396	40.23062896	19.35324798	59.46790894	94.5338219	99.03658589	44.61970695	53.64777195	46.12194595	22.61249397	62.76778794	58.76447194	58.91207494	3.541847996	34.74001596	52.01851894	57.17232895	34.06966396	65.87126993	41.89507996	20.53336698	28.57296397	74.27321493	53.95433094	33.07516796	24.94834697	197.7534658	14.59399799	64.16249693	33.01193997	43.28749596	45.49624295	20.25107698	37.75748996	54.07734495	55.90736294	61.10988294	9.954003989	52.14885894	68.02378493	1256.17666	84.50426491	79.98766691	36.01454396	48.95227195	12.90260399	26.77066297	70.63020323
hsa-mir-323	12.18472899	2.284202998	2.182516998	2.486125997	2.428327997	3.435603996	1.690062998	2.780164997	0.523060999	3.775739996	4.811601995	3.183318997	1.499821998	1.433336999	7.123079992	2.752824997	31.38389397	3.917630996	5.102620995	0	4.121696996	4.418239995	6.039330994	0.387155	2.459193997	2.043661998	0.746667999	0.136713	2.388205998	3.127786997	1.160531999	1.018299999	12.72248099	0.700511999	2.157306998	1.096741999	2.558866997	3.911441996	1.557774998	1.422370999	1.046657999	4.119489996	4.507019995	0.552999999	2.550758997	2.087685998	1931.105069	3.250163996	2.905120997	2.102015998	1.798246998	0.896013999	1.312286999	39.76202226
hsa-mir-665	0.850096999	0.3807	0	0.17758	0	0.858900999	0.37557	0.490617	0	0.772310999	1.132141999	1.414807998	1.124866999	0	0.178077	0	0.560426999	0.356148	0.927748999	0	0.196271	0.416815	0	0	0.526969999	0.204366	0	0.546850999	0.11941	0	0.290133	0	0.597699999	0	0.347953	0.219348	0.213239	0.411731	0.778887999	0.129306	0.174443	0	0.795355999	0	0.566834999	0.695894999	16.05260998	0.541693999	0.387349	0.210202	0	0	0	0.641950169
hsa-mir-377	11.19294899	0.951750999	0.992052999	7.192007992	4.856655995	4.294504995	2.253416997	3.270782997	1.438416999	10.38328599	5.660707994	8.488849991	4.124510995	4.504774996	10.50654399	1.966303998	8.266292992	8.191410992	5.566494994	0	3.140339997	15.75560898	2.013109998	2.129353998	4.567074995	3.065493997	1.866669998	1.777265998	3.343488997	7.298169992	2.611196997	1.782024998	16.30868398	0.583759999	11.34326099	4.386968995	5.330971995	11.94018999	0.519257999	2.586128997	2.791088997	2.353993998	11.40010799	3.041500997	2.834176997	17.31039998	671.8137243	11.37557399	4.648193995	3.433292996	4.995129995	2.329636997	1.837201998	17.86065587
hsa-mir-766	10.34285099	9.51751199	22.42039898	4.883461995	16.99829498	4.294504995	9.952591989	3.924938996	1.961477998	5.491985994	3.396424997	5.659232994	2.999643997	6.142874994	6.945002992	7.865214991	14.71119998	5.342224995	12.98848899	1.549557998	7.850850992	5.585321994	8.052440992	2.710086997	6.762783993	35.55972596	4.106672995	0.820275999	4.059950996	10.42595799	3.626662996	4.073198996	7.940877991	2.101535998	2.644440997	2.961203997	19.40473898	24.90970697	5.452212994	4.913645995	3.139974997	4.119489996	4.241900996	12.99550499	7.935695991	1.652751998	5.989779994	9.20879799	5.035542995	3.153023997	3.196882997	8.78093899	4.461776995	7.457778181
hsa-mir-141	686.5953093	1296.094736	25.59496897	1747.658	2310.149274	1652.955026	11.83043899	2753.017948	2094.727611	926.17192	1905.394285	755.1539692	4763.809888	1635.437996	1051.544746	9.831518989	2999.12335	1622.611712	888.3198681	6420.041893	1251.621936	1013.277392	2176.172101	1054.417383	686.8177703	4186.442503	3413.76564	2502.390078	982.50806	2942.987211	1013.724888	1525.413199	511.6315914	2261.018904	833.2077791	1483.8922	911.1697931	1120.730969	1931.121931	327.5332917	387.6124496	1072.538626	2029.749508	541.6637284	3620.377843	548.7135974	3715.819915	2021.060339	1631.90334	1697.167854	2885.18694	3054.691446	3560.498151	1782.130053
