#MicroRNA_ID	TCGA.BT.A0S7.01A	TCGA.BT.A0YX.01A	TCGA.BT.A2LA.01A	TCGA.BT.A2LB.01A	TCGA.BT.A20J.01A	TCGA.BT.A20N.01A	TCGA.BT.A20O.01A	TCGA.BT.A20P.01A	TCGA.BT.A20Q.01A	TCGA.BT.A20R.01A	TCGA.BT.A20T.01A	TCGA.BT.A20U.01A	TCGA.BT.A20V.01A	TCGA.BT.A20W.01A	TCGA.BT.A20X.01A	TCGA.C4.A0F0.01A	TCGA.C4.A0F6.01A	TCGA.CF.A1HR.01A	TCGA.CF.A1HS.01A	TCGA.CF.A27C.01A	TCGA.CU.A0YN.01A	TCGA.CU.A0YO.01A	TCGA.CU.A0YR.01A	TCGA.DK.A1A3.01A	TCGA.DK.A1A5.01A	TCGA.DK.A1A6.01A	TCGA.DK.A1A7.01A	TCGA.DK.A1AA.01A	TCGA.DK.A1AB.01A	TCGA.DK.A1AC.01A	TCGA.DK.A1AD.01A	TCGA.DK.A1AE.01A	TCGA.DK.A1AF.01A	TCGA.DK.A1AG.01A	TCGA.DK.A2HX.01A	TCGA.DK.A2I1.01A	TCGA.DK.A2I2.01A	TCGA.DK.A2I6.01A	TCGA.E5.A2PC.01A	TCGA.FD.A3B3.01A	TCGA.FD.A3B4.01A	TCGA.FT.A3EE.01A	TCGA.G2.A2EC.01A	TCGA.G2.A2EF.01A	TCGA.G2.A2EJ.01A	TCGA.G2.A2EK.01A	TCGA.G2.A2EL.01A	TCGA.G2.A2EO.01A	TCGA.G2.A2ES.01A	TCGA.GD.A2C5.01A	TCGA.H4.A2HO.01A	TCGA.H4.A2HQ.01A	TCGA.HQ.A2OE.01A
hsa-let-7a-1	15981.40554	6432.886124	5393.990897	4022.019621	4841.276394	4698.188621	8355.67033	6292.168568	5594.527215	6937.665274	9134.684374	6956.612779	4806.179867	6556.699655	7360.278997	10205.51021	4423.447748	4776.305025	8067.243263	10268.70229	5880.287475	5235.530516	7926.82264	5785.648386	7252.865927	5076.048767	4564.007546	13587.05943	8829.915054	9827.768392	5479.45285	9848.996313	6770.067708	9510.149542	5177.74647	4587.67264	3319.489864	8633.37522	13459.43696	3613.081418	6077.24687	11246.79599	4578.336507	2984.542261	6315.113448	4262.098948	2305.346526	4855.564516	8258.097153	4416.125771	6938.435026	4833.637948	13181.40195
hsa-let-7a-2	32004.60753	12992.35515	10678.26073	7976.55867	9725.453247	9484.844047	16615.57044	12532.49523	11127.07173	13762.83065	18463.81407	13805.70012	9558.741094	13176.05663	14700.96952	20661.52754	8847.736135	9561.15761	16426.72753	20420.74496	11790.01564	10388.11484	16019.52556	11386.23655	14394.10201	10048.68821	9224.708585	27318.07738	17750.58195	19656.31873	10988.7894	19475.23953	13515.71508	19051.93887	10267.04334	9165.693948	6645.376895	16998.30202	26753.2305	7203.016979	12205.95444	22436.80188	9199.489699	5979.038526	12627.95955	8500.537449	4518.929622	9639.264293	16336.0768	8784.465708	13851.8944	9573.732019	26306.37554
hsa-let-7a-3	16259.38738	6608.198689	5410.260567	4046.969674	4859.893574	4766.471252	8246.191819	6323.731623	5578.835392	6994.38719	9254.408347	7036.19575	4749.936539	6650.685637	7510.932148	10491.21416	4550.80471	4856.260322	8291.294697	10335.3333	5959.973613	5261.789864	7899.041719	5806.941926	7401.383683	5050.29862	4635.31433	13905.18999	8959.355834	9942.714575	5526.599471	9816.665292	6821.982262	9687.84606	5196.048787	4666.199381	3378.983516	8652.520698	13426.98331	3624.331081	6133.94086	11322.12381	4596.762263	3002.514769	6306.610917	4335.60291	2338.889294	4877.593405	8259.065527	4432.311296	6964.809311	4847.794972	13173.79068
hsa-let-7b	34685.95632	7298.598984	2568.822193	9844.349847	6652.809009	13391.98482	11163.05237	7986.924718	8446.777586	8241.926094	20533.08585	14527.9598	10703.4803	7789.165075	11366.65558	16696.47583	6882.319785	8384.621658	24608.08394	8656.497431	7632.59744	6027.895931	7651.429167	10063.13341	18838.04134	7613.051319	3980.859915	34587.09402	21327.75671	19389.67486	10357.45988	19619.07439	11001.36003	22462.73131	8187.051076	4135.047132	4987.444494	19899.97414	27792.78579	5798.748701	13980.56356	8123.045633	8685.159233	3229.797865	4706.1511	7593.263697	3266.107237	8354.004979	18158.16874	6229.324919	6480.481531	6253.282772	33902.15743
hsa-let-7c	3807.869493	317.694539	10096.3224	1092.741301	1070.083162	653.194231	2070.514677	5089.174624	985.708018	2357.349101	1459.330502	1470.339604	3349.852624	625.549403	1406.096075	784.555234	600.777396	852.619061	568.710266	115.995516	294.603188	1431.092802	148.567531	3026.973495	2363.109841	206.818639	419.62736	295.026103	7306.597683	896.632364	1819.569445	734.448779	4872.795681	145.823227	2513.263091	682.831696	349.07207	1221.810858	412.031528	875.922036	1164.581782	258.056619	637.610707	560.189237	143.69278	2709.295137	851.746716	1311.982885	522.921793	1439.881076	188.216489	122.21633	334.633285
hsa-let-7d	585.717089	583.804165	265.671809	617.891177	1071.702047	864.054434	605.418041	332.965697	248.846161	440.817674	351.246927	480.681145	983.883287	1113.907939	431.83675	845.707283	819.764119	539.38662	590.048498	695.087634	682.238961	509.431358	919.186108	357.537894	537.773045	866.921607	1749.069558	403.986161	538.301694	1217.230563	367.453512	413.938896	440.419852	237.82379	613.232019	1203.784243	824.808042	842.401016	408.915978	272.319428	297.948724	454.615138	440.494881	521.20272	394.517454	292.276108	653.365202	894.8785	920.729704	440.792791	448.562651	954.07587	667.166911
hsa-let-7e	1736.74893	673.839825	1834.107697	1624.772331	2219.491702	752.3973	785.128049	1868.271182	1836.204828	1696.508745	1002.511373	833.322133	1092.245432	1230.622558	1012.545882	1791.696063	2495.019558	1331.460468	1226.948331	2422.402542	774.093919	981.516086	852.753472	654.29241	2071.256202	3701.277044	1330.5622	3201.67577	1228.612717	3238.041817	809.906419	681.497186	1617.292055	981.884179	892.290166	703.231101	1136.563306	1479.142546	3737.362225	766.658068	1024.504015	6527.037536	1718.500043	1419.2751	1120.633631	1037.841144	295.176358	539.346666	933.512237	2190.090647	1567.67152	1780.559324	8978.932801
hsa-let-7f-1	23.235995	16.17977	4.166623	18.113206	11.332197	12.024614	32.298977	11.44774	12.291928	12.786029	13.585699	15.916594	20.247598	28.666748	12.999622	52.696943	19.054507	18.875861	25.976978	15.938315	21.786112	23.008191	33.015007	23.810049	18.18047	31.676768	25.760043	12.987711	19.344471	28.150086	20.309314	13.492473	25.274191	13.192974	17.606412	17.328527	15.139961	18.733747	17.654785	8.017001	19.886507	14.418215	12.858262	15.760507	8.502531	12.700093	11.021195	13.90348	32.924705	16.04539	21.778766	15.769849	21.521513
hsa-let-7f-2	13426.86294	10943.2349	2915.643943	8567.90157	13809.90078	8777.1096	14627.68105	7067.017033	7792.951625	10855.85391	12252.31926	10939.65206	16858.00022	19473.73174	8964.396707	17467.46357	10282.56853	11829.82236	11065.26484	24057.3372	11735.45223	15012.84457	23974.53174	13181.28197	10542.56496	14906.6782	15485.1456	12039.06102	11315.79896	18061.6685	14698.43063	9333.73658	14313.64519	8675.139358	9643.372734	14984.02101	7974.9214	11035.618	13218.50107	5585.780943	8081.59748	18740.73667	9959.055053	4465.476887	4666.756038	8845.962575	5551.088511	8030.433092	9470.113664	9377.304335	12348.75996	11273.29166	32528.9799
hsa-let-7g	809.434381	496.433408	307.338038	529.544903	724.451157	568.59248	634.524677	536.735471	415.702546	437.556808	343.0389	379.522347	427.824249	733.86876	434.151752	590.677675	778.292545	729.925967	427.228512	1161.504719	559.569412	486.006352	785.515592	472.329432	537.597388	559.963508	348.320576	725.944675	269.150847	1095.507507	574.463446	381.3533	438.370593	663.735024	405.573786	600.137334	453.345889	814.197463	635.831892	280.33643	196.597314	1238.495221	599.831278	324.887637	234.669865	370.651338	352.199064	642.449093	388.124175	378.432978	726.891281	482.951628	1060.590671
